vol,ask,bid,open,close,high,low,result
1677650.0,40285.5,40271.25,1386.75,1392.0,1397.75,1377.5,1
968135.0,40632.0,40617.75,1400.0,1406.75,1407.25,1394.0,0
651965.0,52217.75,52199.5,1412.25,1411.25,1414.0,1405.0,0
923174.0,39214.0,39200.25,1407.5,1391.0,1408.0,1390.0,0
1104911.0,40585.75,40571.25,1396.0,1403.75,1404.0,1392.0,0
962079.0,40900.75,40886.5,1402.75,1416.5,1418.5,1401.5,1
2036564.0,80633.25,80605.25,1416.5,1400.0,1423.5,1396.5,0
1447461.0,40428.5,40414.0,1401.0,1396.75,1402.5,1386.0,1
1147635.0,40545.0,40531.0,1398.25,1387.25,1404.5,1385.5,1
1587674.0,40059.75,40045.25,1385.5,1387.0,1393.0,1366.75,0
2086285.0,78927.0,78898.75,1386.0,1368.5,1395.25,1366.5,1
1976258.0,39593.25,39578.75,1366.0,1353.75,1376.25,1353.0,0
1451375.0,39379.0,39364.5,1354.75,1362.0,1363.75,1350.5,1
1460732.0,39925.25,39911.0,1366.0,1388.75,1391.75,1365.5,0
2168315.0,78666.75,78638.25,1386.75,1369.75,1388.5,1368.25,0
1007817.0,39877.25,39862.75,1372.0,1373.5,1381.0,1370.0,0
1114546.0,40138.5,40124.0,1372.75,1383.0,1389.5,1371.5,1
902926.0,39955.0,39940.75,1381.5,1376.5,1382.25,1372.0,0
1266879.0,78572.25,78544.5,1377.25,1381.75,1385.0,1372.0,1
1002854.0,39917.5,39903.25,1380.5,1370.75,1384.25,1369.0,1
814770.0,39824.75,39810.5,1373.75,1378.75,1379.0,1367.5,1
1139789.0,40306.5,40292.25,1383.0,1403.0,1404.75,1382.25,0
963336.0,63243.25,63221.25,1404.25,1408.75,1410.75,1400.25,0
3676.0,12676.25,12671.75,1407.5,1407.25,1409.25,1407.5,1
712828.0,40604.25,40590.0,1403.0,1400.75,1404.5,1395.0,0
614687.0,40732.25,40718.0,1402.25,1404.0,1408.5,1400.5,1
1591613.0,79784.5,79756.0,1399.25,1397.75,1405.25,1392.0,1
1035578.0,40443.0,40428.75,1395.75,1403.25,1403.5,1388.5,0
1070349.0,40424.75,40410.5,1401.0,1389.5,1402.5,1385.5,0
1442580.0,39965.5,39951.25,1382.25,1369.25,1385.0,1367.75,0
2338515.0,77756.5,77728.5,1362.25,1361.5,1371.25,1356.0,0
1162082.0,32634.75,32622.75,1363.0,1367.25,1367.5,1352.0,1
1399837.0,40113.5,40099.0,1368.25,1383.5,1390.0,1367.25,0
1203952.0,40147.5,40133.25,1388.0,1377.25,1390.0,1373.5,0
2307215.0,78483.75,78455.75,1371.75,1388.25,1390.0,1364.5,0
1210542.0,40282.75,40268.25,1386.75,1392.0,1399.75,1383.5,1
926919.0,40440.5,40426.0,1393.5,1394.5,1400.75,1387.75,0
955254.0,40487.5,40473.0,1399.75,1392.5,1402.75,1387.75,0
1495574.0,79947.0,79919.0,1402.25,1403.75,1407.0,1394.0,0
794880.0,40451.0,40436.75,1398.25,1397.5,1399.0,1391.25,0
810235.0,40743.5,40729.0,1399.5,1405.0,1409.25,1399.25,0
814852.0,40716.75,40702.5,1397.75,1408.25,1410.0,1395.75,1
1547974.0,80092.0,80064.0,1403.0,1403.0,1418.5,1398.0,1
936531.0,40681.75,40667.5,1404.5,1397.5,1408.75,1393.0,0
1058113.0,40654.0,40639.5,1406.0,1392.5,1409.25,1389.25,1
991126.0,40395.0,40380.5,1387.25,1396.25,1398.0,1385.75,0
1354995.0,79541.75,79513.25,1399.0,1394.25,1404.25,1386.75,0
947987.0,40807.75,40793.5,1405.5,1409.0,1411.5,1401.5,0
801730.0,41093.75,41079.75,1415.5,1419.75,1421.25,1412.75,0
834863.0,41241.75,41227.25,1417.5,1421.75,1425.75,1416.5,1
1229273.0,81092.5,81065.75,1423.5,1422.75,1428.75,1417.75,0
708643.0,41286.25,41271.75,1421.5,1422.5,1426.75,1418.25,0
816766.0,41118.25,41103.75,1422.25,1418.5,1425.25,1412.5,1
595700.0,41140.0,41125.75,1421.25,1417.5,1421.75,1414.5,1
1153782.0,81059.0,81031.25,1417.5,1424.5,1428.5,1415.75,0
881330.0,41264.75,41250.25,1425.75,1426.25,1428.5,1418.0,0
587381.0,41403.0,41389.0,1428.75,1426.0,1429.75,1424.75,0
468730.0,41387.5,41374.0,1428.0,1426.0,1429.0,1425.0,1
548694.0,53040.0,53021.75,1435.75,1437.25,1437.75,1427.5,0
675341.0,41620.75,41606.25,1433.75,1435.25,1437.5,1431.0,1
871549.0,41375.75,41361.25,1429.5,1423.5,1429.75,1421.25,0
883550.0,41128.75,41115.0,1418.5,1416.75,1423.25,1413.5,0
1465437.0,80890.75,80862.25,1415.75,1421.25,1424.25,1412.0,0
1033192.0,41451.75,41438.0,1420.25,1434.0,1435.75,1420.25,1
908477.0,41680.25,41666.25,1433.5,1438.5,1441.5,1431.75,1
767688.0,41675.25,41661.0,1435.75,1438.75,1439.25,1434.0,1
1679462.0,82236.5,82209.0,1439.5,1443.25,1446.25,1438.5,0
707332.0,24464.75,24456.5,1443.25,1440.25,1443.75,1432.75,0
906079.0,41942.5,41928.75,1444.25,1445.75,1449.25,1441.75,0
1186397.0,41836.75,41822.5,1447.5,1439.5,1448.5,1435.0,0
2054464.0,81929.25,81901.0,1438.5,1445.0,1449.5,1430.5,0
1096138.0,42100.75,42086.25,1446.25,1456.0,1456.75,1444.5,0
882884.0,42248.0,42234.75,1453.5,1456.75,1459.75,1452.5,1
740736.0,42248.25,42234.0,1457.25,1456.75,1460.0,1452.5,0
1324393.0,82979.25,82951.25,1454.0,1450.0,1459.0,1448.75,0
1105489.0,42129.75,42115.5,1448.25,1453.0,1457.25,1445.5,0
1230926.0,42336.5,42322.5,1451.0,1467.25,1468.5,1449.25,1
773277.0,42610.0,42595.5,1467.75,1470.25,1472.75,1466.0,0
